id_tov,Наименование,Категория,Группа,Кол-во чеков за месяц,Единица измерения,Кол-во за месяц,Среднее кол-во за месяц,Сумма продаж за месяц
21 626,"Фарш из цыпленка-бройлера ""Премиум""",Мясо. Птица. П/ф охл. Яйца,Фарш птица,537,шт,667.00,1.24,168137.4
38 076,"Котлеты из индейки ""Диетические""",Мясо. Птица. П/ф охл. Яйца,Котлеты птица,526,шт,585.00,1.11,166166.2
21 629,"Томаты черри красные, 250 г",Овощи. Фрукты. Грибы. Зелень,Томаты черри,1139,шт,1219.00,1.07,163538.36
39 295,"Творог ""Пластовой"" 5%, 350 г",Молочная Продукция,Творог классика,731,шт,871.00,1.19,163001.49
17 525,"Молоко 3,2% в бутылке, 900 мл",Молочная Продукция,Молоко пастеризованное,1522,шт,1941.00,1.28,159873.49
96 056,"Виноград Мускат премиум без косточки, 500 г",Овощи. Фрукты. Грибы. Зелень,Винограды,398,шт,426.00,1.07,159394.4
14 962,Мясо цыпленка-бройлера на косточке,Мясо. Птица. П/ф охл. Яйца,"Курица тушка, разделка",454,кг,397.10,0.87,159090.67
48 589,"Вода минеральная ""Легенда гор Архыз"", негаз., 5 л",Напитки,Вода,841,шт,1308.00,1.56,157574.02
27 695,"Творог 5%, 180 г",Молочная Продукция,Творог классика,1002,шт,1571.00,1.57,156287.18
21 005,Перец красный сладкий,Овощи. Фрукты. Грибы. Зелень,Перцы,1159,кг,455.86,0.39,154629.49
188,"Творог 9%, 400 г",Молочная Продукция,Творог классика,702,шт,870.00,1.24,151495.67
30 220,Паста с лососем в сливочном соусе,Кулинария,Вторые блюда рыба,505,шт,592.00,1.17,150221.3
69 576,"Фарш ""Домашний по стандарту ВкусВилл"", 360 г",Мясо. Птица. П/ф охл. Яйца,Фарш мясо,441,шт,523.00,1.19,150037.4
25 529,Огурцы грунтовые,Овощи. Фрукты. Грибы. Зелень,Огурцы,1260,кг,744.72,0.59,149344.59
16 589,"Форель малосоленая ломтики, 150 г",Рыба. Морепродукты,Рыба соленая,379,шт,391.00,1.03,147410.46
64 215,Творог для сырников 9% 350 г,Молочная Продукция,Творог классика,655,шт,869.00,1.33,144982.52
54 978,"Яйцо куриное С1 белое, 20 шт",Мясо. Птица. П/ф охл. Яйца,Яйца,562,упак,574.00,1.02,143754
61 602,"Суп с куриными фрикадельками и пастой ""Звездочки""",Кулинария,Супы,745,шт,911.00,1.22,143349.04
23 595,Филе куриной грудки с прованскими травами,Мясные деликатесы. Колбасы,Охлажденные готовые блюда,397,шт,566.00,1.43,142949.41
58 178,Крем-суп с тыквой и индейкой,Кулинария,Супы,686,шт,787.00,1.15,141529.49
77 011,Пельмени микро с индейкой цветные,Замороженные п/ф,Пельмени детские,379,шт,407.00,1.07,140470.8
18 580,Бедро цыпленка бройлера,Мясо. Птица. П/ф охл. Яйца,"Курица тушка, разделка",446,кг,424.06,0.95,137911.1
24 116,"Сок апельсиновый прямого отжима, 1 л",Напитки,Соки,267,шт,300.00,1.12,135061.29
37 017,Говядина для вторых блюд,Мясо. Птица. П/ф охл. Яйца,Рубленая говядина,173,шт,188.00,1.09,134418.6
609,Огурцы короткоплодные,Овощи. Фрукты. Грибы. Зелень,Огурцы,901,кг,462.42,0.51,131676.36
64 368,"Ветчина куриная ""Аппетитная""",Мясные деликатесы. Колбасы,Колбаса вареная. Ветчина,398,шт,404.00,1.02,129284.21
71 616,"Салат ""Винегрет"", 600 г",Кулинария,Семейный формат салаты,402,шт,411.00,1.02,128175.6
61 483,"Салат ""Цезарь"" с курицей и пекинской капустой",Кулинария,Салаты,519,шт,574.00,1.11,127959.44
20 698,"Творог ""Пластовой"" из цельного молока, 350 г",Молочная Продукция,Творог классика,494,шт,596.00,1.21,127281.59
71 215,Биточек куриный с капустой и картофельным пюре,Кулинария,Вторые блюда птица,599,шт,677.00,1.13,126785.03
34 835,"Салат ""Витаминный"" с лимонной заправкой",Кулинария,Салаты,781,шт,843.00,1.08,126531.15
44 285,"Суп ""Куриный"" с домашней лапшой, 1 кг",Кулинария,Семейный формат супы,293,шт,301.00,1.03,126077.4
20 122,"Огурцы короткоплодные, 450 г",Овощи. Фрукты. Грибы. Зелень,Огурцы,603,шт,627.00,1.04,125587.66
59 282,"Авокадо Хасс ""ВВ отборное"", шт",Овощи. Фрукты. Грибы. Зелень,Авокадо,519,шт,626.00,1.21,124331.56
63 899,"Котлеты из свинины и говядины, 300 г",Кулинария,Семейный формат вторые блюда,282,шт,303.00,1.07,124122.5
82 834,"Торт ""Половинки Маракуйя-Монтблан""","Торты, пирожные, десерты",Торты,207,шт,217.00,1.05,123894.56
43 207,"Сыр творожный ""Вкусвилл"", 140 г",Сыры,"Сыры мягкие, творожные",877,шт,946.00,1.08,123208.97
18 361,"Борщ ""Украинский""",Кулинария,Супы,630,шт,715.00,1.13,123206.99
62 804,"Фарш из телятины, 360 г",Мясо. Птица. П/ф охл. Яйца,Фарш мясо,309,шт,356.00,1.15,122652.8
18 939,"Виноград Кишмиш, без косточки",Овощи. Фрукты. Грибы. Зелень,Винограды,649,кг,393.86,0.61,120756.61
23 995,Стейк из филе грудки цыпленка-бройлера,Мясо. Птица. П/ф охл. Яйца,Курица бескостное мясо,340,шт,373.00,1.10,120579.11
